case_id,modality,fov_category,mean_dx_mm,mean_dy_mm,mean_dz_mm,mean_abs_dx_mm,mean_abs_dy_mm,mean_abs_dz_mm,mean_radial_mm
amos_0004,CT,FOV-A,-0.1870862360366239,28.491854677070062,-20.165428421935683,7.877847909672831,28.491854677070062,20.165428421935683,37.65423483613742
amos_0011,CT,FOV-A,-12.683506559378804,40.006868077727084,-35.73614190287534,14.34008757259076,40.006868077727084,35.73614190287534,57.5664179141338
amos_0009,CT,FOV-B,-0.9117724800437872,42.10291667283613,3.4923632653957473,4.625862653510651,42.10291667283613,9.907791744592696,45.689721868357644
amos_0006,CT,FOV-A,-12.600832758325899,53.35481369596689,-21.355107825102216,16.78578158414243,53.35481369596689,24.505080733539003,64.79702202378712
amos_0014,CT,FOV-A,-9.729548434676419,34.52133235568764,-29.676060556127563,10.82981151277308,34.52133235568764,31.113650819383533,49.42317499634992
amos_0017,CT,FOV-A,-15.431433298353502,59.98893726057867,-26.302186707649344,15.554787933171673,59.98893726057867,26.302186707649344,69.0418792007892
amos_0016,CT,FOV-A,-1.0564176559810907,34.97409977689229,-33.7871036253505,8.853441947774717,34.97409977689229,33.7871036253505,51.646194673628166
amos_0010,CT,FOV-B,8.520316522998401,48.853062929925834,-21.614470745141993,9.256088221836325,48.853062929925834,21.614470745141993,55.38989832557701
amos_0005,CT,FOV-A,-18.071765331541716,31.46659673818555,-39.675549280319224,20.010448996999546,31.46659673818555,39.675549280319224,58.195931456178485
amos_0001,CT,FOV-A,20.518564731244233,34.34086622792885,-28.49418339520688,20.518564731244233,34.34086622792885,28.49418339520688,50.83292462272698
amos_0023,CT,FOV-A,4.296919726224329,49.55514677507721,-28.585006596077466,7.655811125379291,49.55514677507721,28.585006596077466,58.55667557644892
amos_0019,CT,FOV-A,3.3914891448999716,31.238423075077367,-21.50363620250132,5.796351124259004,31.238423075077367,21.50363620250132,39.88052116973522
amos_0024,CT,FOV-A,-5.976177552710581,46.66748671751167,-30.42448054495394,6.977235839945422,46.66748671751167,30.42448054495394,58.17414418265103
amos_0025,CT,FOV-A,2.909180219569469,30.171823461579784,-29.143142056843637,5.247383800732452,30.171823461579784,29.143142056843637,44.04237804458679
amos_0015,CT,FOV-A,-3.682234361215254,48.82260159712901,-4.800275505481429,5.5373137048694065,48.82260159712901,12.929773656320977,51.810475967250234
amos_0007,CT,FOV-B,6.507865855844702,38.63267033813106,-38.03661047856303,6.811016866640406,38.63267033813106,38.03661047856303,55.23905638775495
amos_0021,CT,FOV-A,7.472203226350438,58.24099970826642,-24.010330567714,10.635110811673645,58.24099970826642,26.457521353109737,66.11290860395654
amos_0035,CT,FOV-A,2.0397412606616054,39.40446974928876,-19.688792825279013,6.709596462233452,39.40446974928876,21.38030464484357,48.36157706267233
amos_0027,CT,FOV-A,4.916367209709351,61.57810555140588,3.453689039624487,5.879386990293472,61.57810555140588,14.803325017559185,65.952792707897
amos_0033,CT,FOV-A,20.561452989109284,37.279238196277355,-21.872927902877777,20.561452989109284,37.279238196277355,22.488738796792497,50.610789271542146
amos_0043,CT,FOV-A,-20.330298575913364,61.136846551253704,-29.25750137740165,20.330298575913364,61.136846551253704,29.25750137740165,72.49108157206585
amos_0042,CT,FOV-A,-8.097783570145284,49.780411991552896,-19.401418347986873,8.758573227846135,49.780411991552896,19.638723753487042,56.791325226294866
amos_0030,CT,FOV-B,9.389577453644323,46.09696110753858,-15.883538100768115,10.394557524906206,46.09696110753858,24.92349280019789,55.920026410223905
amos_0036,CT,FOV-B,3.4038029945245616,50.35173128122839,-22.3743334952955,5.529576907573411,50.35173128122839,22.3743334952955,56.18024657762162
amos_0038,CT,FOV-B,-4.114249391531861,43.89753069494851,-30.022141402122042,8.004907229742217,43.89753069494851,38.411616904494366,60.8436442811148
amos_0045,CT,FOV-A,11.305879201213175,48.12844770437871,-30.45231751200064,11.305879201213175,48.12844770437871,30.45231751200064,59.276871966537584
amos_0047,CT,FOV-B,9.118490291477235,37.91393609474406,-27.403956805833197,10.717513244713555,37.91393609474406,28.82577470902262,50.235642826401644
amos_0044,CT,FOV-B,-11.810469759402384,42.40870400110321,24.13475525532558,11.810469759402384,42.40870400110321,24.13475525532558,51.84034266802504
amos_0054,CT,FOV-A,1.0730904269921127,43.27515738552764,-31.041189648258744,7.763862657308784,43.71358915908161,31.041189648258744,57.187512085543595
amos_0050,CT,FOV-B,9.145721259741798,18.96000537743574,-15.5924661808854,11.32024622793375,19.275306335014047,18.798515485639818,33.53811116029319
amos_0059,CT,FOV-A,-12.748019952499222,36.851048503956754,1.4175721036320132,12.948066830442489,36.851048503956754,7.895595024907577,41.32312832303599
amos_0049,CT,FOV-A,8.629437605324888,49.61054517427297,-9.417516348113713,11.760304831288128,49.61054517427297,11.90211029939569,53.7146602544338
