target_name,N,mean_mre,median,p90,sdr_10,sdr_20
aorta,259,49.971940629544996,49.66727966187028,65.27168171078813,0.0,0.7722007722007722
esophagus,258,50.54156825078415,50.06511784676246,64.43127998968299,0.0,0.3875968992248062
urinary_bladder,197,52.16786442659547,50.86177131887925,73.82790329082492,0.0,1.015228426395939
inferior_vena_cava,259,52.7938127598149,52.18740107434403,69.83188722214848,0.0,0.0
adrenal_gland_right,258,54.02021004960332,53.434344454601025,70.73655081252915,0.0,0.7751937984496124
liver,259,55.42646065131476,54.807815037352825,75.95632161069992,0.0,0.0
adrenal_gland_left,259,55.51203062258772,54.40280409199731,74.86086136033866,0.0,0.3861003861003861
kidney_right,259,55.74861580538649,54.97135170462741,76.17293373193657,0.0,0.7722007722007722
kidney_left,258,55.813431564265834,55.01671234663348,76.12681037793071,0.0,0.3875968992248062
pancreas,259,55.99118545445449,55.97505816677189,74.2970934085876,0.0,0.3861003861003861
spleen,256,57.39884809201805,57.544745989512336,80.10565345054015,0.0,1.5625
prostate,194,57.839892823395054,54.00568509352354,88.75237767701013,0.0,0.5154639175257731
duodenum,259,59.48308469901511,59.64121838165954,79.04069119670892,0.0,0.0
stomach,257,59.691308923790466,59.03319005752643,83.46756734002422,0.0,0.0
gallbladder,243,61.082883227052555,58.613250050220294,85.14983678919609,0.0,0.0
