case_id,split,mre_sys0,mre_sys1,mre_sys2,mre_sys3,delta_frame,delta_combined
v3_v2_case_010,locked_test,26.35465431213379,25.899528164507696,26.379864669573845,25.88365186764374,-0.4551261476260926,-0.47100244449005046
v3_v2_case_013,locked_test,20.23995590209961,19.913191531633824,20.26082903168378,19.92194034690561,-0.326764370465785,-0.31801555519399827
v3_v2_case_036,locked_test,20.240299224853516,22.936805842799373,20.22248611241142,22.959788431865668,2.6965066179458574,2.7194892070121526
v3_v2_case_039,locked_test,21.397939682006836,22.6449053051462,21.408179772089444,22.65208368323767,1.2469656231393635,1.2541440012308342
v3_v2_case_047,locked_test,17.08591079711914,17.708008679641694,17.12049901575108,17.716103139230494,0.6220978825225529,0.6301923421113536
v3_v2_case_066,locked_test,12.503326416015625,52.346156055599415,12.478425717533083,52.30353612290755,39.84282963958379,39.80020970689193
v3_v2_case_069,locked_test,14.160133361816406,12.162645515003588,14.17406886651744,12.142478227715984,-1.9974878468128185,-2.0176551341004227
v3_v2_case_104,locked_test,13.1862211227417,35.55954348386212,13.222832624506676,35.574847897106004,22.373322361120422,22.388626774364305
v3_v2_case_109,locked_test,21.188095092773438,24.753679903143233,21.19064023741804,24.76671297674427,3.5655848103697956,3.578617883970832
v3_v2_case_135,locked_test,15.412137031555176,28.554598892239266,15.407995828509284,28.562186647653405,13.14246186068409,13.15004961609823
v3_v2_case_139,locked_test,23.1636905670166,54.4223456311759,23.19549461925004,54.412128263913225,31.2586550641593,31.248437696896623
v3_v2_case_141,locked_test,14.280932426452637,23.524043475001672,14.271386014413336,23.521961155845542,9.243111048549036,9.241028729392905
v3_v2_case_162,locked_test,16.832622528076172,20.273755758550845,16.797083418353036,20.310966189660828,3.441133230474673,3.478343661584656
v3_v2_case_168,locked_test,14.87331485748291,15.654285528510382,14.893825720862951,15.653232663363159,0.7809706710274718,0.779917805880249
v3_v2_case_183,locked_test,19.586957931518555,20.665249695502347,19.600241702483576,20.671939160932702,1.078291763983792,1.0849812294141472
v3_v2_case_185,locked_test,17.263225555419922,19.51387557823064,17.269727159559217,19.51655813419299,2.250650022810717,2.253332578773069
v3_v2_case_202,locked_test,23.306398391723633,27.805195478174316,23.288738577818798,27.793151683599937,4.498797086450683,4.486753291876305
v3_v2_case_209,locked_test,17.733402252197266,22.54674694650014,17.7563111633338,22.585196185896006,4.813344694302874,4.85179393369874
v3_v2_case_223,locked_test,14.801823616027832,18.78249608882963,14.781705181187526,18.7608982621325,3.9806724728017997,3.9590746461046677
v3_v2_case_231,locked_test,20.56551170349121,19.94453023293758,20.548353589743545,19.938709509533304,-0.6209814705536303,-0.6268021939579071
v3_v2_case_250,locked_test,12.017314910888672,17.196353774751636,12.03285353800993,17.189737270509347,5.179038863862964,5.1724223596206755
