case_id,modality,fov_category,mre_sys0,mre_sys1,mre_sys2,mre_sys3,mre_oracle
amos_0001,CT,FOV-A,50.83292462272698,29.704233076313294,46.16579495246103,26.1397251071557,14.028061152966053
amos_0004,CT,FOV-A,37.65423483613742,24.718544861747713,32.445046215611576,21.752319478337984,15.411766531161339
amos_0005,CT,FOV-A,58.195931456178485,39.52425025773917,54.01794690157269,34.78134022681047,24.701383813370345
amos_0006,CT,FOV-A,64.79702202378712,28.448364510186657,59.6452202656524,25.034560768964266,23.467775764575613
amos_0007,CT,FOV-B,55.23905638775495,26.844817241514924,50.148445202410215,23.62343917253314,11.10922247138304
amos_0009,CT,FOV-B,45.689721868357644,22.5980804075644,40.63555642686679,19.88631075865667,15.455086594148328
amos_0010,CT,FOV-B,55.38989832557701,16.82473490824157,49.7878727889515,14.80576671925259,14.124612258965985
amos_0011,CT,FOV-A,57.5664179141338,29.209631355289563,52.62784633327882,25.704475592654823,18.03132927552018
amos_0014,CT,FOV-A,49.42317499634992,26.841359347547964,44.473151018935525,23.62039622584221,17.3908267817763
amos_0015,CT,FOV-A,51.810475967250234,18.80629519393708,46.46881259565393,16.54953977066463,15.722636709621112
amos_0016,CT,FOV-A,51.646194673628166,26.80892747715213,46.579586862797555,23.59185617989387,20.376182912201777
amos_0017,CT,FOV-A,69.0418792007892,26.169098963236195,63.50440040056877,23.028807087647856,15.881717360844078
amos_0019,CT,FOV-A,39.88052116973522,20.814687690685485,34.552930945304006,18.316925167803227,13.62995670836521
amos_0021,CT,FOV-A,66.11290860395654,24.379571573235662,60.56806779395314,21.454022984447388,19.5783329690224
amos_0023,CT,FOV-A,58.55667557644892,17.49482991038601,52.96888294381279,15.395450321139702,13.182802979373044
amos_0024,CT,FOV-A,58.17414418265103,21.598340877353756,52.79087149855692,19.006539972071323,16.26932059772669
amos_0025,CT,FOV-A,44.04237804458679,27.56523492342277,39.0108442729293,24.25740673261202,17.744763789218663
amos_0027,CT,FOV-A,65.952792707897,32.48806258146302,60.92122157134019,28.589495071687452,20.40098957152229
amos_0030,CT,FOV-B,55.920026410223905,22.841422463573608,50.787496214737786,20.100451767944783,21.200617743809556
amos_0033,CT,FOV-A,50.610789271542146,28.440388199003284,45.82952318929633,25.02754161512288,16.74503726378789
amos_0035,CT,FOV-A,48.36157706267233,22.685104356991204,43.092609687373354,19.962891834152252,21.29943858358981
amos_0036,CT,FOV-B,56.18024657762162,14.764989068212847,50.498218972343416,12.993190380027299,12.087289691727678
amos_0038,CT,FOV-B,60.8436442811148,29.400776714196233,55.853022943234585,25.872683508492678,23.15427886859135
amos_0042,CT,FOV-A,56.791325226294866,17.89247677319774,51.29405342496794,15.74537956041401,17.11565306810462
amos_0043,CT,FOV-A,72.49108157206585,32.682905694513195,67.10781696513892,28.76095701117162,15.205183238851237
amos_0044,CT,FOV-B,51.84034266802504,42.82513284606361,48.30756666424182,37.68611690453598,13.9278551469678
amos_0045,CT,FOV-A,59.276871966537584,21.6256275842352,53.84729937099304,19.030552274126972,12.082258929381682
amos_0047,CT,FOV-B,50.235642826401644,26.21032140742802,45.1625866399352,23.06508283853666,18.05654012831509
amos_0048,CT,FOV-A,91.36525810788117,48.3882914200028,85.88682982002297,42.58169644960246,18.363533521163554
amos_0049,CT,FOV-A,53.7146602544338,22.267453922892873,48.396641775164994,19.595359452145722,18.93062876302633
amos_0050,CT,FOV-B,33.53811116029319,35.70459542959883,29.56587449849178,31.420043978046976,20.530347230725503
amos_0052,CT,FOV-A,62.98727117052176,21.61334614969255,57.40881517525232,19.019744611729443,18.672498603017544
amos_0054,CT,FOV-A,57.187512085543595,23.081644148324624,52.02016671662659,20.311846850525676,18.512282412819808
amos_0057,CT,FOV-A,58.21361657985771,38.39079153417806,53.98171640234721,33.78389655007669,25.29871507540361
amos_0058,CT,FOV-B,30.28515181428618,35.216516857812735,26.49672938464674,30.990534834875213,17.36350573425888
amos_0059,CT,FOV-A,41.32312832303599,27.040769324963,36.65596399377642,23.795877005967437,14.750975303036602
amos_0060,CT,FOV-B,73.24977354071785,47.9754005434585,68.6370864468948,42.218352478243474,28.614047424164987
amos_0064,CT,FOV-A,56.14643917823697,22.272157439483237,50.71782844381394,19.59949854674524,19.32790717097636
