target_index,target_name,train_valid_count,train_missing_count,train_mean_x,train_mean_y,train_mean_z,train_std_x,train_std_y,train_std_z
0,spleen,359,1,123.90113830566406,-18.08982276916504,1802.6014404296875,71.4849624633789,132.90187072753906,1089.02490234375
1,kidney_right,358,2,138.0654296875,-15.809535026550293,974.3193969726562,67.75968170166016,120.7033920288086,839.7644653320312
2,kidney_left,357,3,136.3314971923828,-18.66866111755371,1667.3648681640625,67.03141784667969,130.5094757080078,1043.72509765625
3,gallbladder,338,22,129.552978515625,56.76578140258789,962.574951171875,63.03787612915039,123.48571014404297,827.8859252929688
4,liver,360,0,121.85590362548828,32.75349807739258,987.7789916992188,66.68959045410156,122.67523193359375,846.437255859375
5,stomach,360,0,123.6968765258789,47.514183044433594,1563.0467529296875,66.14179992675781,131.74623107910156,1014.916015625
6,pancreas,359,1,130.94570922851562,33.98310470581055,1404.6871337890625,63.66651153564453,127.53072357177734,959.5597534179688
7,adrenal_gland_right,358,2,125.83780670166016,-3.180063486099243,1145.0545654296875,71.23997497558594,123.17604064941406,883.0435180664062
8,adrenal_gland_left,358,2,128.18373107910156,3.8158323764801025,1506.7508544921875,68.33443450927734,127.02811431884766,982.2382202148438
9,lung_upper_lobe_left,355,5,98.58576965332031,51.006534576416016,1770.43896484375,74.18051147460938,130.45217895507812,1084.291748046875
10,lung_lower_lobe_left,359,1,107.9453125,-17.4285831451416,1710.061279296875,76.91795349121094,129.89471435546875,1055.7763671875
11,lung_upper_lobe_right,224,136,89.96158599853516,58.17001724243164,1003.6080322265625,78.06849670410156,119.85955047607422,872.7748413085938
12,lung_middle_lobe_right,356,4,104.39956665039062,70.79299926757812,952.8954467773438,78.3530044555664,119.94104766845703,842.295166015625
13,lung_lower_lobe_right,360,0,107.71643829345703,-13.339798927307129,935.2705688476562,77.23137664794922,121.36714935302734,831.600830078125
14,esophagus,358,2,104.49079132080078,10.773078918457031,1366.084228515625,76.68766021728516,125.46480560302734,948.9509887695312
15,trachea,97,263,69.31599426269531,72.68328857421875,1257.9998779296875,71.21925354003906,85.00597381591797,1002.7161254882812
16,thyroid_gland,91,269,51.40694808959961,99.66334533691406,1285.7498779296875,76.88848114013672,81.53861999511719,1019.7234497070312
17,small_bowel,358,2,155.44024658203125,45.148956298828125,1430.93212890625,50.264766693115234,130.2098846435547,968.3194580078125
18,duodenum,357,3,138.0995635986328,31.920503616333008,1184.5313720703125,61.20222473144531,124.72933959960938,890.6746826171875
19,colon,359,1,151.2340087890625,35.86798095703125,1306.599609375,49.782630920410156,126.9238510131836,937.0455932617188
20,urinary_bladder,339,21,181.8893280029297,20.24078369140625,1359.6507568359375,41.383365631103516,120.62181854248047,916.441162109375
21,prostate,196,164,183.0068359375,13.430419921875,1345.314697265625,34.20361328125,118.49826049804688,871.9695434570312
