target_index,target_name,valid_count,missing_count,mean_x,mean_y,mean_z,std_x,std_y,std_z
0,spleen,448,2,120.86504364013672,-14.336023330688477,1767.107421875,72.1939926147461,128.78453063964844,1108.1817626953125
1,kidney_right,446,4,134.8740692138672,-12.905242919921875,950.8202514648438,67.63770294189453,118.6788330078125,854.3056640625
2,kidney_left,446,4,133.3742218017578,-14.917374610900879,1634.8587646484375,67.15507507324219,126.87902069091797,1057.6959228515625
3,gallbladder,424,26,126.93463134765625,59.95100021362305,945.3618774414062,63.63385009765625,121.50663757324219,842.0179443359375
4,liver,450,0,119.01013946533203,36.452880859375,962.7198486328125,68.15995788574219,120.91646575927734,860.7691650390625
5,stomach,450,0,120.86361694335938,51.28483200073242,1528.7801513671875,67.78128051757812,128.05711364746094,1032.43408203125
6,pancreas,447,3,128.1228485107422,37.485626220703125,1377.888671875,64.96422576904297,124.63665008544922,973.0970458984375
7,adrenal_gland_right,445,5,122.85382080078125,-0.03338369354605675,1117.26318359375,71.67919921875,121.20856475830078,897.0217895507812
8,adrenal_gland_left,445,5,125.501220703125,7.520659446716309,1479.583251953125,68.67510223388672,124.08497619628906,997.36083984375
9,lung_upper_lobe_left,443,7,95.82711029052734,54.11249923706055,1736.5074462890625,76.08531951904297,126.54447937011719,1101.7010498046875
10,lung_lower_lobe_left,449,1,104.63691711425781,-13.49154281616211,1675.2896728515625,77.79574584960938,126.38947296142578,1073.4329833984375
11,lung_upper_lobe_right,275,175,88.51140594482422,59.74077224731445,979.5255737304688,79.91969299316406,119.435302734375,881.9606323242188
12,lung_middle_lobe_right,445,5,101.05447387695312,73.32449340820312,927.7794799804688,79.30049896240234,117.97948455810547,855.8628540039062
13,lung_lower_lobe_right,449,1,104.52318572998047,-10.166017532348633,908.8287963867188,78.02278900146484,119.4659652709961,846.8637084960938
14,esophagus,446,4,101.04823303222656,14.489896774291992,1335.197021484375,77.66121673583984,122.5971908569336,965.9805908203125
15,trachea,121,329,70.83914184570312,71.56259155273438,1264.6077880859375,75.06877136230469,88.46002960205078,1020.3992919921875
16,thyroid_gland,113,337,52.83872604370117,99.13615417480469,1277.103759765625,81.89213562011719,84.32518768310547,1040.4791259765625
17,small_bowel,445,5,153.13839721679688,48.78385543823242,1398.685791015625,51.222869873046875,126.7417221069336,983.5816040039062
18,duodenum,445,5,135.50363159179688,35.19691467285156,1155.3228759765625,62.063602447509766,122.34369659423828,905.049072265625
19,colon,447,3,148.92584228515625,39.50215530395508,1280.7791748046875,51.265010833740234,124.54389953613281,953.0437622070312
20,urinary_bladder,420,30,179.52658081054688,24.177352905273438,1329.1904296875,40.95358657836914,118.32038116455078,937.842041015625
21,prostate,249,201,181.23037719726562,15.902628898620605,1285.529296875,33.90994644165039,115.80390167236328,905.4342041015625
22,sacrum,25,425,124.0133285522461,27.83059310913086,1406.6055908203125,68.02073669433594,113.36368560791016,1114.9569091796875
23,vertebrae_S1,45,405,151.91549682617188,13.390405654907227,634.9843139648438,140.0478515625,131.019287109375,833.7261352539062
24,vertebrae_L5,430,20,167.2032470703125,-47.18631362915039,1319.2037353515625,56.288780212402344,121.40087127685547,942.0936279296875
25,vertebrae_L4,430,20,161.39199829101562,-22.994583129882812,1322.0394287109375,55.58536911010742,120.83612060546875,941.9326171875
26,vertebrae_L3,434,16,156.0113067626953,-13.84812068939209,1321.1600341796875,57.13175582885742,120.60929870605469,943.532470703125
27,vertebrae_L2,434,16,148.80282592773438,-11.813973426818848,1322.934326171875,60.53464889526367,120.45801544189453,943.16748046875
28,vertebrae_L1,436,14,141.57151794433594,-16.16097068786621,1318.2686767578125,64.5726318359375,120.3224868774414,941.3106689453125
29,vertebrae_T12,441,9,134.62059020996094,-20.56174087524414,1305.66845703125,68.74537658691406,120.6556625366211,941.8856201171875
30,vertebrae_T11,448,2,128.85890197753906,-24.486068725585938,1286.9154052734375,73.01251220703125,121.15333557128906,944.0244140625
31,vertebrae_T10,449,1,121.85881042480469,-28.66908073425293,1281.31982421875,75.86798858642578,120.7527084350586,943.2553100585938
32,vertebrae_T9,448,2,115.39899444580078,-31.788318634033203,1279.572998046875,78.53842163085938,120.89054870605469,944.66552734375
33,vertebrae_T8,441,9,109.13398742675781,-34.34978485107422,1268.5484619140625,80.79129791259766,120.69634246826172,943.585205078125
34,vertebrae_T7,416,34,103.66475677490234,-36.01805114746094,1251.55029296875,82.37088012695312,121.20088958740234,946.1314697265625
35,vertebrae_T6,366,84,95.47444915771484,-38.3100471496582,1244.808349609375,73.35698699951172,119.08981323242188,949.3334350585938
36,vertebrae_T5,287,163,93.83241271972656,-47.03836441040039,1255.7001953125,76.0743637084961,123.83959197998047,947.4090576171875
37,vertebrae_T4,199,251,89.46098327636719,-36.77573013305664,1239.93359375,74.68904876708984,124.9792251586914,973.7333984375
38,vertebrae_T3,141,309,83.77505493164062,-7.087421417236328,1264.9471435546875,73.43707275390625,104.34278869628906,1002.0040283203125
39,vertebrae_T2,115,335,70.99483489990234,23.771692276000977,1271.3822021484375,75.60594177246094,85.3310546875,1030.6712646484375
40,vertebrae_T1,114,336,63.938880920410156,33.235713958740234,1269.5010986328125,77.80321502685547,82.20430755615234,1035.415771484375
